Opentime,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1699977600000,36147.09000000,36417.23000000,34800.00000000,35293.99000000,15656.19522000,1699991999999,557656174.05894750,436479,7075.37829000,252071467.76816170,0
1699992000000,35294.00000000,35673.14000000,35214.39000000,35551.19000000,5810.93658000,1700006399999,206075075.94553170,164651,2980.52816000,105690208.65528240,0
1700006400000,35551.20000000,35665.45000000,35360.00000000,35381.99000000,5203.09563000,1700020799999,184552360.20691030,134339,2536.19739000,89955015.96584940,0
1700020800000,35382.00000000,35661.04000000,35375.38000000,35576.88000000,3200.65003000,1700035199999,113845967.68260980,110905,1557.91867000,55410976.85696170,0
1700035200000,35576.88000000,36278.62000000,35576.88000000,36240.94000000,7279.36097000,1700049599999,261390895.71580630,200174,3930.68751000,141138737.83963450,0
1700049600000,36240.95000000,36416.51000000,36002.35000000,36402.42000000,7663.06886000,1700063999999,277287796.69531550,225417,4103.61425000,148512640.37944440,0
1700064000000,36402.43000000,37774.14000000,36254.00000000,37499.99000000,19742.85560000,1700078399999,731654181.32785380,557131,10553.76277000,391106167.32445430,0
1700078400000,37499.99000000,37980.00000000,37306.49000000,37858.20000000,10480.10276000,1700092799999,394518454.88097800,317461,5459.96181000,205545963.62707650,0
1700092800000,37858.20000000,37929.54000000,37337.57000000,37454.98000000,5899.68672000,1700107199999,222023615.11666820,214851,2567.19748000,96602186.66030300,0
1700107200000,37454.99000000,37621.10000000,37307.55000000,37437.25000000,3745.59295000,1700121599999,140280403.73072730,142329,1863.02773000,69783550.03973860,0
1700121600000,37437.25000000,37544.00000000,37121.09000000,37247.48000000,5941.88084000,1700135999999,221902287.33875770,230557,2809.26781000,104928232.35273680,0
1700136000000,37247.49000000,37319.99000000,36256.15000000,36406.00000000,12973.96687000,1700150399999,477378112.08252370,390582,6066.58224000,223256919.55940490,0
1700150400000,36406.00000000,36642.31000000,35500.00000000,35921.01000000,11093.12179000,1700164799999,400627250.68988200,332459,5005.29345000,180783292.79646620,0
1700164800000,35921.01000000,36273.32000000,35666.00000000,36163.51000000,7836.14649000,1700179199999,282291670.05661370,231668,3902.68057000,140578373.72447730,0
1700179200000,36163.51000000,36673.69000000,36101.44000000,36483.99000000,5583.82188000,1700193599999,203221555.47598640,175244,2793.50317000,101660629.08318050,0
1700193600000,36484.00000000,36521.44000000,36145.55000000,36239.76000000,5666.70131000,1700207999999,205937232.23947450,158452,2464.50656000,89562281.71305030,0
1700208000000,36239.76000000,36464.00000000,36121.00000000,36372.83000000,4890.88110000,1700222399999,177655985.23771950,191879,2329.58013000,84621757.22999360,0
1700222400000,36372.82000000,36620.00000000,35861.10000000,36044.80000000,8673.98523000,1700236799999,314205900.52754770,331325,4083.39580000,147980899.78525050,0
1700236800000,36044.79000000,36800.00000000,35909.17000000,36322.40000000,9576.63530000,1700251199999,348222215.61766690,340534,4786.69256000,174053862.83886570,0
1700251200000,36322.40000000,36723.59000000,36308.00000000,36613.92000000,3891.58630000,1700265599999,141982162.09393220,151888,1945.68589000,70986452.49140590,0
1700265600000,36613.91000000,36613.92000000,36360.22000000,36371.81000000,2299.53542000,1700279999999,83816905.12096130,106293,1049.09583000,38234077.19413660,0
1700280000000,36371.80000000,36428.00000000,36178.58000000,36417.16000000,2814.36769000,1700294399999,102254182.99790470,126469,1334.88679000,48503193.63432070,0
1700294400000,36417.15000000,36538.61000000,36375.28000000,36402.80000000,2149.96659000,1700308799999,78353583.67842510,106007,1064.30468000,38788831.83390960,0
1700308800000,36402.79000000,36682.20000000,36347.69000000,36664.16000000,3645.00442000,1700323199999,133078622.17479960,155719,1838.29880000,67122741.59537510,0
1700323200000,36664.17000000,36845.49000000,36600.10000000,36679.10000000,3784.84081000,1700337599999,138878419.25480070,161038,1792.36819000,65768002.04860390,0
